dish_name,count
Harcsapaprikás galuskával,6
"1. sajttal töltött csirkemell, hasáb burgonya, joghurtos saláta. 1 890.- 2. rántott camembert, krokett, áfonya lekvár.",6
"Aranygaluska, vanília sodó",6
Burgonyafőzelék fasírozottal,6
"Burgonya főzelék, Stefánia vagdalt",6
"Budapest apró, rizs",6
Brokkoli krémleves - csontleves cérnametélttel,6
"Brassói aprópecsenye, savanyúság",6
"Borsmártásos sertéskaraj, törtburgonya",6
"Borsmártásos sertéskaraj, burgonya",6
Borsmártásos sertéskaraj,6
Mézes pikáns oldalas steak burgonya,6
"Borjú májgaluska leves gazdagon magyaros saslik, grill zöldség, jus",6
"Borcsmártásos sertéskaraj, burgonya",6
"Birkagulyás csipetkével rántott camembert, krokett, gyümölcsös áfonya",6
Birka gulyásleves,6
Betyár batyu rizzsel,6
"Bazsalikomos paradicsomleves mozzarellával pecsenye kacsamáj, tepsis burgonya, kovászos uborka",6
"Barackkrémleves, pirított mandula sertésoldalas, röszti, párolt káposzta, fokhagymás mártogatós",6
"Bakonyi sertés szelet, galuska",6
Bakonyi gulyásleves túrógombóc dió bundában,6
Babgulyás csipetkével sztrapacska,6
Babgulyás parajos-tejszínes gnocchi,6
Aszalt szilvával töltött karaj burgonyapürével,6
"Borsmártásos karaj, burgonya",6
"Gyümölcsfőzelék, Párizsi csirke",6
Hideg almaleves,6
Rizses csirke,6
"Szemes babfőzelék, marhapörkölt",6
"Sertésszelet kakukkfüves zöldségekkel csőben sütve, rizs",6
"Óvári sertés szelet, petrezselymes burgonya",6
Sertésraguleves lasagne,6
Sertésraguleves füstölt kacsahúsos rizottó,6
"Hideg bazsalikomos paradicsomleves mozzarellával dijoni mustáros szűz pankómorzsában, petrezselymes újburgonya",6
"Sertésraguleves chilis sajt nuggets, sült burgonya, amerikai saláta",6
Sertés raguleves savanyú almával füstölt kacsahúsos rizottó,6
Sertés raguleves,6
"Savanyú malacleves, burgonyagombóccal emiliane penne",6
Óvári sertésborda fokhagymás spagetti,6
Sajtos - tejfölös gnocchi,6
"Sajtkrémleves, fokhagymás pirítós roston sült csirkemell pestos salátával, mogyoróburgonya",6
"Sajtkrémleves krutonnal roston sült csirkecombfilé, sült burgonya, görög saláta",6
"Õszibarack krémleves, pirított mandula pacal pörkölt, sós burgonya",6
"Sajtkrémleves pljeskavica, sült burgonya, friss saláta",6
"Csirkepörkölt, tészta",6
Rántott jérce kukoricás rizzsel,6
"Rántott halrúd, rizibizi",6
Rántott hal vegyes majonézes salátával,6
Rántott gomba rizibizi,6
Rántott csirkecomb petrezselymes burgonyával,6
"Rántott camembert, rizs",6
"Rántott camambert, zöldséges rizs",6
"Rántott camambert sajt, burgonyapüré",6
Roston csirkemell brokkolis rizs,6
"Ropogós sült csülök, törtburgonya",6
"Szemes babfőzelék, marhapörkölt, palacsinta",6
"Szezámmagos rántott sajt, kukoricás rizs",6
"Szárazbab főzelék, sült kolbász",6
Tojásos galuska,6
"Zsályás besamelben sült sertésszelet, fűszeres burgonya",6
Zöldbableves kolbász karikával,6
"Zöldborsó krémleves füstölt kacsamell morzsával marhalábszár pörkölt, galuska",6
Vörösboros marharagu galuskával,6
"Vegyes gyümölcsleves fetával-sonkával töltött csirkemell rántva, kukoricás rizs",6
Töltött paprika paradicsommártással,6
Töltött paprika főttburgonya,6
"Zöldborsó krémleves kolbászmorzsával pácolt tarja ropogós hagymás bundában, fűszeres burgonya, savanyúság",6
"Töltött csirkecomb, zöldséges bulgurral",6
"Tökmagos rántott szelet, rizibizi",6
Tárkonyos vadragu leves,6
"Zöldborsó krémleves, bacon chips fokhagymás sült oldalas, fűszeres burgonya",6
"Temesvári sertés szelet, rizs",6
"Ínyenc tekercs, rizs",6
"Zöldborsófőzelék, sült csirkecomb",6
