dish_name,score,lemmas
dish_name,count,dish_name
"Körömpörkölt, sós burgonya, saláta",18,"Körömpörkölt , sós burgonya , saláta"
Csikós tokány tésztával,18,Csikós tokány tészta
"Sajttal - sonkával töltött szelet, rizibizivel",18,"Sajt - sonka töltött szél , rizibizi"
"Körömpörkölt, sósburgonya",18,"Körömpörkölt , sósburgonya"
Babgulyás - palócgulyás,18,Babgulyás - palócgulyás
"Gombaleves, csipetkével",18,"gombaleves , csipetk"
Sertéshúsleves,17,Sertéshúsleves
Bakonyi sertésszelet galuskával,17,bakonyi sertésszelet galuska
Csirkeragu leves,17,Csirkeragu leves
Paradicsomleves betűtésztával,17,Paradicsomleves betűtészta
"Sobri szelet, rizzsel",17,"Sobri szél , rizz"
Sárgaborsó főzelék pörkölttel,17,Sárgaborsó főzelék pörkölt
Paradicsomos káposzta vagdalttal,17,Paradicsomos káposzta vagdalt
Babgulyás - legényfogó leves,17,Babgulyás - legényfogó leves
Magyaros rizsleves,17,magyaros rizsleves
Csőben sült túrós palacsinta,17,cső sült túrós palacsinta
Becsinált leves,17,becsinált leves
Krémes palacsinta,17,krémes palacsinta
"Roston csirkemell, sajtmártás, rizs",17,"Roston csirkemell , sajtmártás , rizs"
"Rác csirkecomb, karikás burgonya",17,"Rác csirkecomb , karikás burgonya"
Tárkonyos sertésragu leves,17,tárkonyos sertésragu leves
Babgulyás - tyúkhúsleves,17,Babgulyás - tyúkhúsleves
Milánói sertéskaraj,17,Milánói sertéskaraj
"Bácskai rizses hús, saláta",17,"bácskai rizses hús , saláta"
Palóc gulyás,17,Palóc gulyás
Csorbaleves,17,Csorbaleves
Csirkepörkölt galuska,16,Csirkepörkölt galuska
Májgombóc leves,16,Májgombóc leves
Csontleves gazdagon,16,Csontleves gazdag
Tavaszi leves,16,tavaszi leves
"Csongrádi tekercs, petrezselymes burgonya",16,"csongrádi tekercs , petrezselymes burgonya"
Eperleves,16,Eperleves
"Sertéspörkölt, tarhonya, savanyúság",16,"Sertéspörkölt , tarhony , savanyúság"
"Rakott karfiol, greslivel",15,"rakott karfiol , gresli"
Hideg meggyleves,15,Hideg meggyleves
"Rántott sajt, sült krumplival. 2290.- sajttal-sonkával töltött karaj, sült krumplival. 2390.- sajtos-bundás csirkemell, sült krumplival . 2390.- lassan sült oldalas, jázmin rizzsel. 2390.- czigány lecsó, lassan sült oldalassal és házi tésztával. 2390.",15,"rántott sajt , sül krumpli . 2290.- sajttal-sonkával töltött karaj , sül krumpli . 2390.- sajtos-bundás csirkemell , sül krumpli . 2390.- lassú sült oldalas , jázmin rizz . 2390.- czigány lecsó , lassú sült oldalas és házi tészta . 2390."
"Bácskai rizses hús, savanyúság",15,"bácskai rizses hús , savanyúság"
Túróval töltött zsemle,15,Túró töltött zsemle
"Magyaros zöldborsóleves, csipetkével",15,"magyaros zöldborsóleves , csipetk"
"Tavaszi rizses hús, savanyúság",15,"tavaszi rizses hús , savanyúság"
Karfiol leves,15,Karfiol leves
Karalábéleves,15,Karalábéleves
Prézlis tészta baracklekvárral,15,Prézlis tészta baracklekvár
"Gyros, sültburgonya, saláta",15,"gyros , sültburgonya , saláta"
Magyaros zöldbableves,15,magyaros zöldbableves
Csülökpörkölt tésztával,15,Csülökpörkölt tészta
Hagymakrém leves,15,Hagymakrém leves
"Meggyfőzelék, Párizsi csirkemell",15,"Meggyfőzelék , Párizsi csirkemell"
Újházi tyúkhúsleves,15,újházi tyúkhúsleves
Babgulyás - pecsenyeleves,15,Babgulyás - pecsenyeleves
Tavaszi zöldségleves - gyümölcsleves,15,Tavaszi zöldségleves - gyümölcsleves
Babgulyás - Frankfurti leves,15,Babgulyás - Frankfurti leves
"Borsmártásos sertéskaraj, burgonyapüré",14,"borsmártásos sertéskaraj , burgonyapüré"
Csirkepaprikás galuskával,14,Csirkepaprikás galuska
Leves + garnélás - tonhalas - tejszínes spagetti,14,Leves + garnélás - tonhalas - tejszínes spagetti
"Tökfőzelék, fasírt",14,"tökfőzelék , fasírt"
