dish_name,count,lemmas,course,protein,cooking_method,canonical_name
"Rántott tengeri halfilé, petrezselymes burgonya",13,"rántott tengeri halfilé , petrezselymes burgonya",főétel,hal,rántott,petrezselymes burgonya
"Rántott sertésmáj, petrezselymes burgonya",13,"rántott sertésmáj , petrezselymes burgonya",főétel,sertés,rántott,petrezselymes burgonya
"Rántott halrúd, kukoricás rizs",13,"rántott halrúd , kukoricás rizs",főétel,,rántott,"Rántott halrúd, kukoricás rizs"
"Rác csirkecomb, karikás burgonya",13,"Rác csirkecomb , karikás burgonya",főétel,csirke,,"Rác csirkecomb, karikás burgonya"
"Magvas rántott szelet, kukoricás rizs",13,"Magvas ránt szél , kukoricás rizs",főétel,,rántott,"Magvas rántott szelet, kukoricás rizs"
Karalábéleves,13,Karalábéleves,leves,,,Karalábéleves
Hideg meggyleves,13,Hideg meggyleves,leves,,,gyümölcsleves
Hagymakrém leves,13,Hagymakrém leves,leves,,,Hagymakrém leves
Korhely leves,13,Korhely leves,leves,,,Korhely leves
"Rántott jérce, rizibizi",13,"rántott jérce , rizibizi",főétel,csirke,rántott,rizibizi
"Gyros, sültburgonya, saláta",13,"gyros , sültburgonya , saláta",főétel,,sült,hasábburgonya
"Csongrádi tekercs, petrezselymes burgonya",13,"csongrádi tekercs , petrezselymes burgonya",főétel,,,petrezselymes burgonya
Babgulyás - Pecsenyeleves,13,Babgulyás - Pecsenyeleves,leves,marha,,Babgulyás - Pecsenyeleves
Csülökpörkölt tésztával,13,Csülökpörkölt tészta,főétel,sertés,pörkölt,Csülökpörkölt tésztával
Babgulyás - Tyúkhúsleves,13,Babgulyás - Tyúkhúsleves,leves,marha,,húsleves
Borjúpörkölt tésztával,13,Borjúpörkölt tészta,főétel,marha,pörkölt,Borjúpörkölt tésztával
Burgonyás tészta,13,Burgonyás tészta,főétel,,,Burgonyás tészta
Babgulyás - Palócgulyás,13,Babgulyás - Palócgulyás,leves,marha,,Babgulyás - Palócgulyás
Prézlis tészta baracklekvárral,13,Prézlis tészta baracklekvár,főétel,,,Prézlis tészta baracklekvárral
Babgulyás - Frankfurti leves,12,Babgulyás - Frankfurti leves,leves,marha,,Babgulyás - Frankfurti leves
Babgulyás - Legényfogó leves,12,Babgulyás - Legényfogó leves,leves,marha,,Babgulyás - Legényfogó leves
Tökfőzelék pörkölttel,12,Tökfőzelék pörkölt,főzelék,vegetáriánus,pörkölt,Tökfőzelék pörkölttel
"Cordon bleu, sültburgonya",12,"Cordon bleu , sültburgonya",főétel,,sült,hasábburgonya
"Csőben sült brokkolis csirkemell, rizs",12,"cső sült brokkolis csirkemell , rizs",főétel,csirke,sült,"Csőben sült brokkolis csirkemell, rizs"
"Finomfőzelék, sült csirkecomb, palacsinta",12,"Finomfőzelék , sült csirkecomb , palacsinta",desszert,csirke,sült,"Finomfőzelék, sült csirkecomb, palacsinta"
"Tökfőzelék, fasírt",12,"tökfőzelék , fasírt",főzelék,vegetáriánus,fasírozott,fasírozott
Krémes palacsinta,12,krémes palacsinta,desszert,,,Krémes palacsinta
Csirkepaprikás nokedlivel,12,Csirkepaprikás nokedli,főétel,csirke,,galuska
"Magvas rántott szelet, rizibizi",12,"Magvas ránt szél , rizibizi",főétel,,rántott,rizibizi
Palóc gulyás,12,Palóc gulyás,főétel,marha,,Palóc gulyás
"Körömpörkölt, sósburgonyával",12,"Körömpörkölt , sósburgonya",főétel,,pörkölt,"Körömpörkölt, sósburgonya"
"Pankó morzsás rántott szelet, kukoricás rizs",12,"Pankó morzsás rántott szél , kukoricás rizs",főétel,,rántott,"Pankó morzsás rántott szelet, kukoricás rizs"
Pontyhalászlé Túrós csusza,12,Pontyhalászlé Túrós csusza,főétel,hal,,túrós csusza
"Fokhagyma krémleves, zsemlekocka",12,"Fokhagyma krémleves , zsemlekocka",leves,,,"Fokhagyma krémleves, zsemlekocka"
"Ínyenc batyu, rizs",12,"Ínyenc batyu , rizs",főétel,,,"Ínyenc batyu, rizs"
