canonical_name,total,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12
"Magvas rántott szelet, kukoricás rizs",13,0,6,0,1,6,0,0,0,0,0,0,0
Csőben sült túrós palacsinta,13,2,0,3,1,1,0,1,2,1,0,1,1
"Rác csirkecomb, karikás burgonya",13,1,1,0,2,0,2,0,2,2,0,3,0
Babgulyás - Frankfurti leves,13,1,1,1,1,3,1,1,0,1,0,2,1
"Sobri szelet, rizzsel",13,1,2,1,1,2,1,1,0,0,1,1,2
Csirkeragu leves,12,0,0,2,0,1,1,3,1,2,1,1,0
"Édes - savanyú csirke, rizs",12,0,2,1,2,0,1,1,1,1,1,1,1
Pulled Pork tál,12,0,0,1,0,2,0,0,0,0,0,4,5
Palóc gulyás,12,3,1,1,0,1,1,0,0,2,1,2,0
"Mustáros sertésapró, tészta",12,1,1,2,0,3,1,0,1,0,1,0,2
Krémes palacsinta,12,2,1,1,1,1,1,2,1,0,1,0,1
Túróval töltött zsemle,12,1,0,1,1,1,0,3,1,0,2,0,2
Babgulyás - Palócgulyás,12,0,2,1,1,1,2,1,1,1,0,1,1
"Csőben sült brokkolis csirkemell, rizs",12,0,1,1,0,1,1,1,0,0,2,2,3
"Pankó morzsás rántott szelet, kukoricás rizs",12,6,0,0,0,0,0,0,0,0,0,6,0
"Ínyenc batyu, rizs",12,0,0,0,0,6,0,0,0,0,0,6,0
"Finomfőzelék, sült csirkecomb, palacsinta",12,3,0,3,1,2,3,0,0,0,0,0,0
Korhely leves,12,0,0,1,0,1,1,2,1,2,1,2,1
Babgulyás - Legényfogó leves,12,1,2,2,0,1,2,1,0,1,1,1,0
Szalagos fánk lekvárral,12,2,3,1,0,1,0,0,0,1,1,3,0
Bakonyi sertésszelet galuskával,12,1,0,1,0,0,2,1,2,1,1,2,1
"Debreceni szelet, kagylótésztával",11,1,1,0,1,2,1,0,0,1,1,2,1
Magyaros rizsleves,11,4,3,0,0,0,0,2,0,1,1,0,0
Szilvalekváros derelye,11,1,1,1,0,2,1,1,0,2,1,1,0
Tökfőzelék pörkölttel,11,2,0,1,1,0,0,1,2,1,1,1,1
"Birkapörkölt, sós burgonya, saláta",11,3,0,2,1,1,1,1,0,1,0,1,0
Minestrone leves,11,0,1,2,0,1,1,1,3,1,1,0,0
Gombapaprikás tésztával,11,1,1,2,0,1,1,1,2,0,1,1,0
Magyaros zöldbableves,11,0,3,0,0,0,0,2,0,1,0,3,2
Májgombóc leves,11,1,0,2,1,0,1,0,2,1,1,2,0
"Kelkáposzta főzelék, fokhagymás sertéssült",11,3,0,3,1,0,0,0,0,2,2,0,0
Karfiol leves,11,1,0,5,1,0,1,1,1,0,0,0,1
Sajtos - tejfölös tészta,11,0,0,2,2,1,1,1,2,1,1,0,0
Marhapörkölt tésztával,11,1,0,0,0,1,1,1,2,1,2,1,1
"Csőben sült brokkoli, vasalt csirkecombbal",11,2,1,1,0,1,1,0,2,0,1,2,0
Szárnyas aprólék leves,11,2,1,0,0,2,1,1,1,1,1,1,0
Milánói sertéskaraj,11,0,0,0,6,0,5,0,0,0,0,0,0
"Kofapecsenye, tarhonya",11,1,1,2,1,1,1,0,2,1,0,0,1
Pacalpörkölt sós burgonyával,11,0,0,2,0,1,1,2,1,1,1,2,0
Hamis gulyás,11,0,0,0,0,2,0,1,1,3,1,2,1
Grízgombócleves,11,1,2,2,0,0,1,1,2,1,0,1,0
Tökfőzelék vagdalttal,10,1,3,0,0,2,0,2,2,0,0,0,0
"Zöldborsófőzelék, göngyölt hússal",10,1,0,2,0,0,1,1,0,2,0,2,1
"Birkapörkölt, főttburgonya",10,0,0,1,1,1,2,0,1,0,2,1,1
Rizskók lekvárral,10,1,0,1,1,2,1,0,2,0,0,1,1
Hamis gulyás leves,10,3,0,2,1,0,1,0,1,1,1,0,0
Burgonya gombóc leves,10,1,1,1,0,1,1,0,2,0,2,0,1
Borsostokány tésztával,10,2,0,1,2,0,0,0,0,0,0,2,3
"Párizsi csirkemell, almafőzelék",10,1,1,0,1,0,1,1,1,1,1,1,1
Káposztás kocka,10,2,1,1,1,1,1,0,1,0,1,0,1
"Fokhagymás tokány, tészta",10,1,2,0,2,0,1,1,0,1,1,1,0
"Sertéskaraj ""Otthon"" módra rizzsel",10,1,0,2,0,1,1,2,0,0,2,1,0
"Mexikói sertés tokány galuskával, saláta",10,3,0,0,0,0,2,2,0,0,0,3,0
Zöldséges - húsos rakott tészta,10,1,0,2,0,2,1,0,1,1,1,0,1
B.U.É.K,10,10,0,0,0,0,0,0,0,0,0,0,0
Csorbaleves,10,0,1,1,1,1,1,0,1,1,2,0,1
Babgulyás - Raguleves,10,1,2,2,0,0,0,0,1,0,0,1,3
"Székelykáposzta, palacsinta",10,2,1,1,1,0,0,0,0,0,0,3,2
Szecsuáni csirke sült tésztával,10,0,0,1,1,0,2,1,2,0,1,1,1
Sárgaborsó főzelék pörkölttel,10,1,0,0,1,0,2,0,0,1,1,2,2
